ticker,open,high,low,close,volume,market_cap,date
ABBV,183.18,191.66,182.15,190.14,9562051.0,1.81812838E9,2025-02-03
ABBV,187.63,191.15,187.05,189.95,6886187.0,1.30803123E9,2025-02-04
