ticker,open,high,low,close,volume,market_cap,date
ABBV,201.83,205.5,201.28,204.08,5659068.0,1.15490266E9,2025-02-24
ABBV,205.175,206.01,202.35,204.14,6961626.0,1.42114637E9,2025-02-25
