ticker,open,high,low,close,volume,market_cap,date
ABBV,193.16,193.86,190.435,190.6,3418288.0,6.515257E8,2025-02-07
ABBV,191.46,191.46,189.09,190.34,3459610.0,6.5850214E8,2025-02-10
