ticker,open,high,low,close,volume,market_cap,date
ABBV,190.52,193.38,189.92,191.75,6305049.0,1.20899315E9,2025-02-05
ABBV,191.9,194.49,190.56,192.97,4403585.0,8.4975981E8,2025-02-06
